FileName,FileTime,Integration time,Analog gain,Digital gain,AE Mean,AEConverged
A35D8D40.JPG,2026-06-20 00:03:32,66,1,66,72,Y
A35D8D50.JPG,2026-06-20 00:03:33,164,0,64,75,Y
A35DC3A0.JPG,2026-06-20 00:18:02,155,0,64,68,Y
A35DF9E0.JPG,2026-06-20 00:32:30,155,0,64,79,Y
A35E3030.JPG,2026-06-20 00:46:59,144,0,64,71,Y
A35E6680.JPG,2026-06-20 01:01:28,188,0,64,74,Y
A35E9CC0.JPG,2026-06-20 01:15:56,188,0,65,80,Y
A35ED310.JPG,2026-06-20 01:30:25,188,0,64,78,Y
A35F0960.JPG,2026-06-20 01:44:54,188,0,64,84,Y
A35F3FA0.JPG,2026-06-20 01:59:22,188,0,64,67,Y
A38544F0.JPG,2026-06-21 21:14:55,66,3,64,70,Y
A3855BB0.JPG,2026-06-21 21:20:59,66,0,66,73,Y
A3855BC0.JPG,2026-06-21 21:21:00,13,0,64,70,Y
A38591A0.JPG,2026-06-21 21:35:22,10,0,64,74,Y
A385C770.JPG,2026-06-21 21:49:43,12,0,64,68,Y
A385FD50.JPG,2026-06-21 22:04:05,15,0,64,71,Y
A3863320.JPG,2026-06-21 22:18:26,15,0,64,75,Y
A38668F0.JPG,2026-06-21 22:32:47,15,0,64,82,Y
A3869ED0.JPG,2026-06-21 22:47:09,12,0,64,72,Y
A386D4A0.JPG,2026-06-21 23:01:30,12,0,64,85,Y
A3870A80.JPG,2026-06-21 23:15:52,9,0,64,67,Y
A3874060.JPG,2026-06-21 23:30:14,9,0,64,75,Y
A3877630.JPG,2026-06-21 23:44:35,9,0,64,82,Y
A387AC10.JPG,2026-06-21 23:58:57,9,0,64,88,Y
A387E1F0.JPG,2026-06-22 00:13:19,8,0,64,77,Y
A38817E0.JPG,2026-06-22 00:27:42,8,0,64,85,Y
A3884DC0.JPG,2026-06-22 00:42:04,6,0,64,77,Y
A38883B0.JPG,2026-06-22 00:56:27,3,0,64,81,Y
A388B9A0.JPG,2026-06-22 01:10:50,3,0,64,85,Y
A388EFB0.JPG,2026-06-22 01:25:15,3,0,64,88,Y
A38925D0.JPG,2026-06-22 01:39:41,2,0,65,76,Y
A3895C10.JPG,2026-06-22 01:54:09,2,0,65,78,Y
A3899240.JPG,2026-06-22 02:08:36,2,0,65,83,Y
A389C880.JPG,2026-06-22 02:23:04,2,0,65,82,Y
A389FED0.JPG,2026-06-22 02:37:33,2,0,64,74,Y
A38A3520.JPG,2026-06-22 02:52:02,2,0,64,70,Y
A38A6B60.JPG,2026-06-22 03:06:30,2,0,64,67,Y
A38AA1B0.JPG,2026-06-22 03:20:59,2,0,64,62,Y
A38AD800.JPG,2026-06-22 03:35:28,2,0,65,59,Y
A38B0E50.JPG,2026-06-22 03:49:57,2,0,65,56,Y
A38B44A0.JPG,2026-06-22 04:04:26,3,0,64,56,Y
A38B7AE0.JPG,2026-06-22 04:18:54,13,0,64,61,Y
A38BB120.JPG,2026-06-22 04:33:22,22,0,64,59,Y
A38BE720.JPG,2026-06-22 04:47:46,53,0,64,59,Y
A38C1D30.JPG,2026-06-22 05:02:11,178,0,64,60,Y
A38C8920.JPG,2026-06-22 05:30:58,376,2,67,58,Y
A38CBF10.JPG,2026-06-22 05:45:21,376,4,192,52,N
A38CF500.JPG,2026-06-22 05:59:44,376,4,192,6,N
A38D2AF0.JPG,2026-06-22 06:14:07,376,4,192,3,N
A38D60E0.JPG,2026-06-22 06:28:30,376,4,192,3,N
A38D96C0.JPG,2026-06-22 06:42:52,376,4,192,3,N
A38DCCA0.JPG,2026-06-22 06:57:14,376,4,192,3,N
A38E0280.JPG,2026-06-22 07:11:36,376,4,192,3,N
